ID	text	Class
819	يااااه كل دا جواك ليا ، طيب كويس انك فضفضت قبل البلوك عشان متفرقعش ف يوم بسببي ، وانا مش كدا بس عشان انت معندكش شخصية شايف اني متكبره وعشان ان انسان ضعيف شايفني مستهلكش وعشان رخيص شايفني مقدرتش حبي ليك يلا معلش وهابي بلوك يا عره الرجاله يا ضعيف الشخصية URL	OFF
820	@USER يا أحَــلى من تخــرج يا ألطــٌف من الــورد <LF>يا أجمـُـل خريجه مـْـرت على كــٌل الأعـِـوام 🎓 😍❤	NOT_OFF
821	تعملوا بيها اعلانات تجيبوا فيها نجوم سينما بالملايين زي كريم و عز و تصرفوا فلوسنا علي دعم فرق كوره لا يبقي سوري يعني ناخد حقنا احنا الاول يا شوية فشله و تشتغلوا بضمير و تدونا خدمه دافعين تمنها يا فشله يا لصوص <LF>يا راس هرم الفساد ف مصر<LF>@USER معلش انت مش عارف تشغلهم	OFF
822	RT @USER: ولا يا ولااا يا استثنائي 💃 URL	NOT_OFF
823	ربنا ييسرلك الحال يا اسلام يا جيزاوى بقا وتترجم الحلقه 😂😂😂💔<LF>روابط الاستريم عماله تتنطط قدامى ف كل حته وانا ماسك نفسي بالعافية😂😂💔	NOT_OFF
824	@USER @USER نحن رجال يا حمارة أهلك ويلزمنا عملنا بلبس الباس السعودي الرسمي <LF>والإمن لبس موحد معين والشركات لبس محدد <LF>وراح يحصل أستغلال تتعراء وتتميع وتبيع السلع على الخرفان بأضعاف مضاعفه الخوف من ذالك يجبرهم على هذا الإمر يا غ	OFF
825	@USER يا فالح يا عليم تنصر شعبك على القوم الظالمين	NOT_OFF
826	@USER اه يا مانجا يا مانجا يا مانجا	NOT_OFF
827	@USER يا زينكم يا اهل عمان حتى في الفرحه متميزين حفظكم الله 💚❤	NOT_OFF
828	نصيحة: لو تحب احد لا تعترف له..<LF>يا ح يبعد عنك يا يستغلك	NOT_OFF
829	@USER والله يا عبدو يا ابني انا مش عارف مين ال لسه مش معاه سيديهات عليا 😂😂🤦‍♂️<LF>بس كل ال اقدر اقولهولك استرني الهي تنستر 😂😂🤦‍♂️🥺	NOT_OFF
830	RT @USER: وهنا يقلل ويسيء لهم ويشوف له مقياس اخر .. والله ثم والله ان نص هالجمهور يفهم اكثر منك يا متسلق يا فاشل . URL	OFF
831	RT @USER: دعاء من القلب لأبنائنا وبناتنا الطلاب والطالبات <LF>اللهم يا ملك الملك يا واسع العطاء يا ذا الجلال والإكرام اسالك بعدد من سجد في…	NOT_OFF
832	RT @USER: يا بدر يا ناهب قلوب العشاشيق<LF>يا من جذب حبه بتوت المعاليق<LF>يا شمعة الخفرات هل كيف أبا اطيق<LF>صبرٍ وجاشي جاش فيه اشتعالا<LF>الأمير…	NOT_OFF
833	@USER يا نجوى يا نجوى غير ريح روحك يا لحاااس	OFF
834	يا أنت يا حبيبي يا أنيق	NOT_OFF
835	@USER @USER من غدر بالغدار <LF>ملك بينحط الراس<LF>من انتم يا حتالة المجتمع يا محرومين يا تجار المخدرات<LF>ان تتكلمو عن اسيادكم<LF>روح طهر نعيك ايها المجوسي الطهراني الكلب<LF>يا مدعوس تحت الصباط يا صرصار بايام العز<LF>اتفوووو على صورتك واسمك <LF>لكل ح	OFF
836	@USER اللهم امين انا وانتي يا ايمان يا جميلة يارب ..متشكر اوي 😍💓	NOT_OFF
837	@USER @USER @USER يا سلام عليكم يا مقاتلين يا حماة الدين والدار	NOT_OFF
838	من الاستعمالات النبوية في التلطف للمستفتي وطالب العلم وصفه بـ [ يا موفق - يا موفقة ] وهو خبر بمعنى الدعاء، كما صح عنه صلى الله عليه وسلم في قوله ذلك لعائشة رضي الله عنها عندما استفتته.<LF>رواه أحمد في مسنده (٣٣٤/١).	NOT_OFF
839	@USER اقطع واخس يا الداعشي يا بو حساب نتن ..	OFF
840	يا صباح الخير.. يا فتاح يا عليم URL	NOT_OFF
841	متباركين بمولد صاحب الزمان عجل الله فرجه بأبي هو و أمي.<LF>السلام عليك يا صاحب الزمان، يا مهدي مدد @ Kuwait URL	NOT_OFF
842	RT @USER: مشاعرهم مشاعرنا .. <LF>ولكل أم نقولها اليوم وكل يوم ..<LF>نحبك يا تاج الرأس يا كل أيامنا أنتِ ♥️<LF>#يوم_الأم<LF>على يوتيوب:<LF>URL.…	NOT_OFF
843	يا حلو النوم يا رب نتزوج	NOT_OFF
844	RT @USER: يا حمد يا روم يا مسافر دبي<LF>دوك هذا الخط للجمري سلام<LF>سلّـم وقله ترانـي هـوب حـي<LF>وعند سالم يا حمد هات الكلام	NOT_OFF
845	@USER يا أتبرا الطيبة يا منجم الثورات <LF>كيفك بعد غيبة وغربة ووطئ جمرات <LF>رجالتك الهيبة … نسوانك الحارات <LF>قالن لي قولا تسر … تنفع زمان الضر	NOT_OFF
846	@USER و انتى طيبة يا نادو يا قلبى ❤️❤️ ربنا يخليكى يا رب	NOT_OFF
847	RT @USER: أزعجتونا في بابا الفاتيكان يا أمعات يا أغبياء <LF>واحد يلعق أحذية خمه مثله وتقارنونه <LF>بعلماء المسلمين الله يكرمهم عنه<LF>.<LF>ومن…	OFF
848	@USER يا الامير يا متعلم تاكل بعقلنا حلوه 🍭 ترانا الجمهور الهلالي 💙 فاهمين الكوره ⚽️ لو تحط واحد فيهم مدرب للهلال💙 واخذ الدوري يعني لاتسوق امها علينا وتحسبنا اننا اطفال با المتوسط	OFF
849	ونصره اليوم هو المنى <LF>أفريقيا يا أهلي <LF>أفريقيا يا أعظم كيان	NOT_OFF
850	حدك ، عمري عم يحلا حبك انت ولا أحلى عيونك قلبي مرتاحلا يا حبيبي يا حبيبي يا حبيبي حبك يلي غيرني بحبك لما تغمرني وبقلبك يلا سهرني يا حبيبي يا حبيبي❤️❤️	NOT_OFF
851	RT @USER: يا أبيض يا إسود قصة حياتى و كل حكاياتى.. مع ان عادى عادى أعيشها فى النص رمادى!	NOT_OFF
852	هو هو هو يا ميسي يا اسطوره يا كبيير👏👏👏👏👏👏👏💪💪💪💙⁦❤️⁩⁦❤️⁩💙💙⁦❤️⁩	NOT_OFF
853	@USER اسطورة من أساطير الزمالك احبك في الله<LF>نفسي اقابلك واخد تشيرت منك يا شيكا يا ابن بلدى أسوان	NOT_OFF
854	اللهم يا أول الاولين و يا آخر الآخرين و يا ذَا القوة المتين و يا رحيم المساكين و يا أرحم الراحمين. ارحم ضعفي و قلة حيلتي ، اللهم اجعل لي الخير فيما اخترته ، اللهم ارزقني الصحة و راحة البال .	NOT_OFF
855	يا صلبة القلب يا وجداً يلاحقني ، هل من فؤادٍ رواهُ اليوم يرويني ؟	NOT_OFF
856	عن العباس بن عبدالمطلب -رضي الله عنه-<LF>قال: قلت: يا رسول الله علمني شيئًا أسأله الله -عزوجل-<LF>قال: سل الله العافية<LF> فَـ مكثت أيامًا ثم جئت<LF>فَـ قلت: يا رسول الله، علمني شيئًا أسأله الله،<LF>فَـ قال لي: يا عباس، يا عم رسول الله، سل الله العافية في الدنيا والآخرة.<LF>- الترمذي	NOT_OFF
857	@USER رسالة تسامح:<LF>إبتسموا يا غالين وسامحوا يا أحبة<LF>وأغسلوا قلوبكم من نغزات الشيطان وسوء الظن ، والتمسوا لأخوانكم الأعذار ..	NOT_OFF
858	@USER يخي انت حمار الدستور وش دخله بلقران و السنه دستور الكويت متعرفه بعد 😂 يا لحجي يا مدرك الامور انت	OFF
859	@USER ههههههههههه أنتي يا هكي يا هكي مافش حل وسط	NOT_OFF
860	يا اانن حّبيبتي ححلوا يا عَالِم بشكل مُذهل(:	NOT_OFF
861	RT @USER: تدري وش معنى <LF>إنهزام ؟<LF>يعني كل ما فيني<LF>يغني :<LF>آه يا كثر الشعور <LF>وآه يا قلّ الكلام !	NOT_OFF
862	RT @USER: يا مزون الغيث يا بيض السحايب ..<LF>يا حقوق الوَسم يا وبل المخيله ..	NOT_OFF
863	@USER كان جد ما عرفنا لماذا سميت عقارب الساعة بالعقارب! يا ما انت كريم يا رب	NOT_OFF
864	@USER كلش الا صلاة التروايح نبي نسمع القرآن يا ويلكم من الله يا شيخ تبون تلغون المكرفونات	NOT_OFF
865	RT @USER: طارق حامدالكلام ليك يا عبدالله السعيد يعدي يا الكورة تعدي الأتنين مع بعض لأ💪<LF>🤚	NOT_OFF
866	@USER الله يا ست الله يا مصطفي 😂⁦❤️⁩⁦❤️⁩	NOT_OFF
867	يا أحسنَ الناسِ يا من لا أبوحُ به<LF>يا مَنْ تَجَنّى وَما أحْلى تَجَنّيهِ.	NOT_OFF
868	RT @USER: ايه العظمه دي شكرا يا انطوي يا اخووويا<LF>#بيراميدز URL	NOT_OFF
869	RT @USER: انهينا العمل اتقنا الشغل 😉<LF>واليوم عطلة قولوا ماذا سنفعل <LF>أسرعي يا ماما هيّا يا بابا <LF>فالوقت قد طاب كي نذهب إلى #سبا…	NOT_OFF
870	RT @USER: يا جوهر العشق يا نبضه وياروحه<LF>يسعد صباح الغلا والشوق وعيونك<LF>دامك صباح القصيد اللي لك أبوحه<LF>يسعد صباح الوله من قلب مجنونك	NOT_OFF
871	@USER @USER الخوي اللي ينتهض لانخيته<LF>يا حظ منهو يا صاحبي له حزام<LF>وشرواك يا الطيب يكفيه صيته<LF>ولا الردي ما ينفعه مدح الاقلام<LF>كلمة ونعم ما توفي بومحمد حقك🌺	NOT_OFF
872	#اغلاق_حسابات_البدون_في_البنوك<LF>الحل رصاصه يا فيك يا فيه <LF>نقطه اخر السطر .	OFF
873	RT @USER: يا كامل الاوصاف يا كااامل الاوصاف يا مؤدب يا محترمم URL	NOT_OFF
874	@USER يا توكل يا رقاصة اسطنبول ، معاك معتز الشمراني من قبائل جنوب السعودية تعالي ارقصي عندي وراح اعطيك فلوس اكثر من اللي اعطوه لك الأتراك عشان رقصك URL	OFF
875	يا تكوووون قد الحياة، يا تيجي تترزع جنبنا هنا ومتقرفناش.!!!	NOT_OFF
876	@USER @USER يا بعد عيني يا حصه الله يسعدج كثر ما اسعدتينا بهالشي واحبج حيل والله💘	NOT_OFF
877	RT @USER: @USER @USER يا هانم يا لبسه زوز محارم <LF>سألتك نا بسيدي سالم<LF>في الأصل من وين تكوني	NOT_OFF
878	يا بتاع النعناع يا منعنع 🍃💕	NOT_OFF
879	@USER ارحل يا زامل يا قواد يا متلون يا بغل	OFF
880	يا بعدهم كلهم يا سراجي بينهم .	NOT_OFF
881	RT @USER: اللهم ياقاضي الحاجات ؛ يا كاشف الكربات ؛ يا مجيب الدعوات ؛ يا غافر الزلات ؛ عافنا واعف عنا ؛ وفرج همومنا ؛ واشرح صدورنا ؛…	NOT_OFF
882	يا فضحتك يا قرمط دكتوره رنا كانت مفكراني شاطرة لحد التيرم دا هتتصدم🚶🏾‍♀️🚶🏾‍♀️😂😂 URL	NOT_OFF
883	اللهم ارحم ابوي واجعل قبره روضه من رياض الجنه تقريبا بشكل يومي احام فيه والله حدي اشتقت له ...اللهم إني أتوسل إليك بأسمائك الحسنى أن تحرم جسده على النار وتجعله من المنعمين في القبر وتتجاوز عنه يا حسن التجاوز يا واسع المغفره	NOT_OFF
884	@USER نفسي اعرف مخ النصراوي في مؤخرته والا وش السالفه احنا يا بابا يا حبيبي أخذنا الصدارة قدام الاهلي وقبل مباراتكم بيوم واحد حلو وصرنا متصدرين اذا انت مو بكفو تهزم الاتحاد وتسترجع صدارت الزبادي اللي اخذتها من اسبوع فهذي مشكلتك مش مشكلة الهلال الله 	OFF
885	RT @USER: الله عليك إن كان عني تخليت <LF>يا ملهمي يا مسندي يا منايه <LF>الله خلق أوصاف منها تحليت <LF>ويزهابها ان كنت دايم معايه <LF>الموا…	NOT_OFF
886	@USER @USER @USER @USER آمين يارب آمين يارب آمين يارب لا اله الا انت ياربنا يا كريم يارحيم يا الله يا ارحم الراحمين يا حي ياقيوم	NOT_OFF
887	RT @USER: ما احنا يا نتعامل حلو يا نتعامل وحش انما التعامل المهزأدا مش معايا بدل ما امرمغ وشك في التراب.	NOT_OFF
888	يا عزيزة يا بنت السلطان...لو يتغير المكان و قابلتني في اي مكان...<LF>كنت اعشق من غير متقووولي🎶<LF>يييونس🎶<LF>#منيررري<LF>#يونس<LF>#الكينج	NOT_OFF
889	RT @USER: بالرغم من عـودهـا الليّن غريبة نظام <LF>أحيان يا عسّرها وأحيان يا لينّهـا .😴	NOT_OFF
890	وحياة حبك يا ناسيني<LF>ياريت يا حبيبـي انساك<LF>دانا كل طريق في عيونــــي<LF>علمتـه بذكــرى معاك<LF>يــا نـاســـي حبنا<LF>راح اعمــل إيــه أنا<LF>عبدالحليم حافظ	NOT_OFF
891	@USER يا قلبي ربي يسعدك يا الأميرة. يا الغاليه	NOT_OFF
892	@USER @USER @USER يا عمررري يا سوسو عقبالك انتي وغيمتي ونفرح بتخرجكم يا رببب 🧡🧡💘..	NOT_OFF
893	@USER @USER يا شبيه البدر يا صافي الثنيه<LF> يا بعد روح المعنّى ويا هناها<LF>المشاعر ظاميه وحالي زريه<LF> يا غلاة الروح يا سبة عناها	NOT_OFF
894	يا فَجرنا يا سلسبيل مهما تغيب راجع راجع	NOT_OFF
895	يا أبرك مصاديف العمر يا اعز من روحي علي 😴🔗.<LF>A.A73<LF>صباح الخير #صباح_الاثنين	NOT_OFF
896	فيه هدف يا لنا يا لهم <LF>يارب يارب	NOT_OFF
897	RT @USER: يا بتفكر يا بتحس 🤗 انتو شو بتختاروا ؟ <LF>إدمان هالغنية شيرين مو طبيعية انتي 😍😍 علي المولى انت ساحر و لحن صلاح الكردي كمل ال…	NOT_OFF
898	ماخاب طلابك يا عظيم يا عظيم و يا عظيم	NOT_OFF
899	يا انسان يا ابن الحياة يا انسان ممكن تطير	NOT_OFF
900	مع الجماعه ... وغير ذلك يا نفسية يا معندش ثقة في روحه URL	NOT_OFF
901	RT @USER: يا بنت الغيمة والقمرة<LF> يا أخت الورد والأزهار URL	NOT_OFF
902	RT @USER: @USER احلي ٢٤ سنه ♥️♥️<LF>كل سنه وانتي طيبه يا إنچي يا جميله ♥️<LF>ربنا يعوض قلبك كل الخير يارب	NOT_OFF
903	يا زاهيّه يا مُذهله يا فاتنة زمانك	NOT_OFF
904	چايمي خط احمر يا دينيريس يا بنت الاحبة انتي<LF>#GameofThrones	OFF
905	إلي بحط جدول المحاضرات بالجامعة اقسم بالله ما بكون صاحي 🙂!<LF>يا غبي ٣ مواد تخصص بنفس الساعة كيييف؟؟<LF>أكيد بكون يا نايم يا بحلم 🙂<LF>بذكرني بأركان وهو بكتب أحداث كارا دينيز😂😭💔	NOT_OFF
906	يكفي غياب وبعد يا منتهى ودي<LF>وقلبك يا ليته بس يشعر بما أشعر به💫☁️	NOT_OFF
907	@USER @USER يا حبيبي يا حسين نور عيني يا حسين <LF>لبيك لبيك يا حسين<LF>احسنتم	NOT_OFF
908	@USER خلاص يا علي كفايه يا علي كي جي ياعم اهو 😂😂	NOT_OFF
909	@USER @USER من كثر جهلكم لا تعرفون التكلم الا عن زواج المتعة عقلكم موجود فقط في منتصف جسدكم لا في اعلا الرأس. و ما حكم المسيار و العُرفي في شرعكم هات ما عندك من علم يا فهيم يا مثقف يا ابن المسيار و العرفي.	OFF
910	يا من إذا دعي أجاب . يا سريع الحساب يا رب الأرباب . يا عظيم الجناب . يا كريم يا وهّاب. رب لا تحجب دعوتي . ولا ترد مسألتي . ولا تدعني بحسرتي ولا تكلني إلى حولي وقوّتي . وارحم عجزي .فقد ضاق صدري . وتاه فكري .وتحيّرت في أمري .وأنت العالم سبحانك بسري وجهري . المالك لنفعي وضري..!!	NOT_OFF
911	إعتلي يا نفس وإعقل يا خفوق<LF>وإرقدي يا عين وإرحل يا هوى<LF>الـكـرامه مـا يـوطـيـهـا مخلوق<LF>والنجـم لا طـاح قـالـوا له هوى .	NOT_OFF
912	RT @USER: يا رب الاهلي يا رب ياخد علي عينو 😂	NOT_OFF
913	@USER @USER 🌸حفظك الله يا ابتي كما حفظ تني اي بحفظك لأمر ربك يا ابتي الغالي يا ابتي عبد اللطيف 🌺 URL	NOT_OFF
914	@USER @USER @USER لا تكثر يا حالمي يا مجلود من الاتحاد 😂😂😂😂	OFF
915	أشتقت لوجه لا أعلم ماذا فعل به التراب والله ما مسّ قلبي ضيق كضيقي حين رحلت يا أبي رحمك الله يا من أوجعني رحيلك	NOT_OFF
916	"يُقال أن:""نصف المحبة وُضعت في النداء""، والشاعر العراقي الفذ عبدالرزاق عبدالواحد يقول: ويا أنتِ.. يا ملح زادي، يا دفء وحشة روحي في لياليها"" <LF>تخيل زادًا بلا ملح! تخيل ليالي ملؤها الوحشة.. لا أُنسًا ولا دفء، حتمًا وُضعت نصف المحبة في النداء.. ولنا في ملح زادي دليل."	NOT_OFF
917	RT @USER: يا شامنا يا قدسنا يا يمنّا<LF>حنا العوض حنا الذخر والذخيره<LF>حنا العرب حنا وحنا وحنا<LF>واحد سفن وابو نجوم وفطيره 😅	NOT_OFF
918	RT @USER: كَنيتها بين الحَنايا يا مَلاذ المستجير<LF>يا عالمٍ تَعلم خَفايا نفوسنا واللي حوّت<LF>وأنا الفَقير اللي يحب يشوف في وَجه الفَقي…	NOT_OFF
919	RT @USER: يا ضلي يا روحي، تعبت معك روحي URL	NOT_OFF
920	@USER يا بثر يا بثر يا بثر 🙂	NOT_OFF
921	يا مال الجنة يا ابو فهد URL	NOT_OFF
922	😂😂😂😂😂 يا حسرة يا حسرة يلااا يابنى انتو وهو يا هبيده وبيب بيب بييييب اشتموا الزمالك وجماهيره مش هنزعل طالما ده هيطلع الفضيحة اقصد الكبت اللى جواكم 😭😭😭😭😭#مع_الاهلي_حتي_الموت URL	NOT_OFF
923	@USER بعدين انتر كلكم يا اسيل يا دعاء ليه ؟؟😂😂😂😂😂😂😂	NOT_OFF
924	@USER @USER يا همومَ الحبّ يا قُبلُ 😸🌹 URL	NOT_OFF
925	#مارون_ناصيف يا متحضر يا مثقف ما بينسأل مواطن ليه قطعت الطريق ا ربع مرات ونحن شعب متحضر مش انت بتقول مش تحضر نقطع الطريق..بعتقد ابسط شي يقطعوا الطريق	NOT_OFF
926	RT @USER: @USER إن شاء الله النصر للاتحاد الليله يا خوي يا متعب <LF>ما نبي درجه اولى <LF>النصر يعوض في المباريات المتبقيه URL…	NOT_OFF
927	اه يا شوية سفلة يا ملاعين ... الشعوب وعيت خلاص #السودان URL	OFF
928	اللهم يا مسهل الشديد,و يا ملين الحديد,و يا منجز الوعيد,و يا من هو كل يوم في أمر جديد, أخرجني من حلق الضيق إلى أوسع الطريق	NOT_OFF
929	RT @USER: يا ذيك الملامح يا أنها تربك النبض ..	NOT_OFF
930	@USER يا احمد الجارلله قلنا لك يا تشرب يا تغرد ، اثنين مع بعض ما يصير ... يا حمار !!!!	OFF
931	{{ يا رؤوف يا رحيم يا رب العالمين }}<LF>وإنك قادر على كل شيء يا {{ رب }}<LF>اللهم لك الحمد دائماً مع دوامك <LF>ولَك الحمد باقياً مع بقائك <LF>ولَك الحمد خالداً مع خلودك <LF>ولَك الحمد كما ينبغي لكرم وجهك وعز جلالك يا ذَا الجلال والإكرام .....،<LF>ورحمة {{ الله }} وبركاته	NOT_OFF
932	@USER مديرة يا قديرة يا نجوى كرم 😍	NOT_OFF
933	RT @USER: البنات اذا سلموا على بعض ** <LF>هلا يالدبه ، شخبارك يا حيوانه ؟ ، عاش من شافك يا كلبه ، وحشتينا يا بقرة ! <LF>بس اذا تهاوشوا ؛…	OFF
934	الله يرحمك يا نعمة <LF> يا أميرة، يا بنت الناس الطيبين يا نعمة <LF> يا عِشرتى الحلوة يا نعمة <LF> خلاص ياختى، خلاص.. لا أنيس ولا جليس! <LF> عِدمت الحبايب من بعدك يا نعمة <LF> يا مقرّب البعيد يارب،، يا مقرّب البعيد يارب URL	NOT_OFF
935	@USER @USER انت يا طفيلي يا كائن هلامي رخوي وحيد النواة ايش دخلك!!	OFF
936	@USER شهور العده دي للنسوان اللي بتصبغ شعرها احمر يا فتك يا ابو شعر احمر	OFF
937	RT @USER: ادعولها يا جماعه ربنا يرحمها يا رب ويرزقها الفردوس الأعلى URL	NOT_OFF
938	@USER شكراً لك انت يا موهوب يا رائع مباراة أسطورية وتاريخية لن تتكرر إلا مع النصر	NOT_OFF
939	@USER يا مال العافية يا بنت العم	NOT_OFF
940	يا شتا يا قلبي يا قمر. بتودعنا :''	NOT_OFF
941	يا إمام الرسل يا سـندي أنت باب الله مـعتمدي <LF>فـبـدنـياي و آخـرتي يا رسـول الله خذ بيدي URL	NOT_OFF
942	يا بعد وجهي يا ذاك الحبيب!.	NOT_OFF
943	#ياماهر_احبك_والمحبه_بليه افرح يا ماهر يا حقها وملك وقلبها الحب ضبطتك اخر تضبيط 😍	NOT_OFF
944	@USER @USER @USER @USER @USER يا حركات يا علوش <LF>شغل ما شاء الله <LF>على ألقوه	NOT_OFF
945	يامالي عمري رضا يا شبيه الورد ، يا راحتي .	NOT_OFF
946	يا صّباح يا عليم يا رزاق يا كريم #صباحات_الهلال و صباح بداية الفصل الأخير📚🤩	NOT_OFF
947	RT @USER: @USER يا انته يا احلا مافي الكون • وحشتيني 🎶❤️	NOT_OFF
948	RT @USER: أوّاه يا ضحكته .. وأوّاه يا ظني<LF>كم مرةٍ قلت ما أحبه وأنا أحبه	NOT_OFF
949	RT @USER: قريبا جدا انشاء الله<LF>الجسم العربي بداء يتشافا فاضل القلب مصر.<LF>يلا يا شرفاء يا أحرار مصر ليبدأ القلب بضخ الدماء إلى الجسد…	NOT_OFF
950	بتخاصمني حبة وتصالحني حبة<LF>كل شوية تغضب كده من غير مناسبة<LF>اهدى يا حبيبي اهدى يا حبيبي<LF>هوه الحب لعبة ولا الحب لعبة<LF>بتخاصمني حبة وتصالحني حبة 🎵<LF>(عزيزة جلال)	NOT_OFF
951	آه يا قلب الشِقى يا ما دور ما لِقى له احباب🎼	NOT_OFF
952	ياحبيبي يا معيووووووووووف<LF>ياحبيبي يا معيووووووووووف<LF>ياحبيبي يا معيووووووووووف<LF>ياحبيبي يا معيووووووووووف<LF>ياحبيبي يا معيووووووووووف<LF>ياحبيبي يا معيووووووووووف<LF> #الهلال_والاهلي URL	NOT_OFF
953	يا فودافون يا مكار بصوت احمد حلمي :D URL	NOT_OFF
954	@USER مثل معادلة (ميل يا غزيل يا غزيل ميل )😂😂	NOT_OFF
955	اللّهُمَّ ، ارْزُقْني مِنْ فَضْلِكَ ، وَلا تَجْعَلْ لي حَاجَةً ، إلى أَحَدٍ منْ خَلْقِكَ ، اللّهُمَّ ، ألبِسْني العَافِيَةَ ، وَارْزُقْني عَلَيْهِا اَلْشُكْرَ ، يا وَاحِدُ ، يا أَحَدُ يا صَمَدُ ، يا اللهُ الذي لَمْ يَلِدْ ، ولَمْ يُولَدْ ، ولَمْ يَكُنْ لَهُ كُفْواً أَحَدٌ ،	NOT_OFF
956	اصبح عليك الخير يا بلدنا .. يا زينة البلدان يا بلدنا ❤🌷	NOT_OFF
957	"و ما بقى للشوق مخرج<LF>"" يا تجيـنـي .. يا اجيـك "" !"	NOT_OFF
958	@USER عادي سهل يا تغريده يا رد على تغريده ببساطه وفيه خاص اذا ثنين متابعين بعض يقدرون يراسلون بعض هذا هو طبعا عندي تويتر من من ٢٠١٠ بكل فخر صياع قديم معك 😂😂😂😂😂😂🤣	NOT_OFF
959	وتطلالب يا اعلام يا ليبي طيح والله سعدكم ومزالكم URL	OFF
960	@USER بس يا متخلف يا مطبلاتي يا كلب	OFF
961	اللهم إنّي أستودعك ديني ونفسي وأمانتي وأهلي وأحبتي وخواتيم عملي وجميع ما أنعمت به عليّ وما أخشى فقدانه وعندك لا تضيع الودائع ،وظني فيك يا سندي جميل فحقق يا إلهي حسن ظني🌺	NOT_OFF
962	RT @USER: دموعك غاليه يا فرجاني . سلامات يا موسيقار URL	NOT_OFF
963	@USER يا ريتني يا اخي عملت عبيطه من الاول💔😂😂😂	NOT_OFF
964	RT @USER: ماينفعش تقول لحد خليك حنين لان الحنيه يا موجوده يا لا <LF>ماينفعش تقول لحد يفرحك لان اللي بيحبك هايتشقلب عشان يخليك مبسوط…	NOT_OFF
965	RT @USER: يا يوم يا خفيف يا لطيف	NOT_OFF
966	مفاجأة مليك منتصر، واسلبه نعمته وسلطانه، وأعره من نعمتك التي لم يقابلها بالشكر، وانزع عنه سربال عزّك الذي لم يجازه بالإحسان، واقصمه يا قاصم الجبابرة، وأهلكه يا مهلك القرون الخالية، وأخذله يا خاذل الفئات الباغية<LF>#حراك_رمضان <LF>#البنزين<LF>#نفطنا_لغيرنا	NOT_OFF
967	@USER للعلم الجيش للحرب والإعمار يا بحر العلم يا ترعة المفهومية يا فيلسوف الحمير	OFF
