id	text	class_label	predicted_class_label
820	USERIDX اح تخ رج الط ف ال ورد اجم ل خريجه م رت علي ك ل الاع وام 🎓 😍❤	NOT_OFF	NOT_OFF
821	تعملوا بيها اعلانات تجيبوا نجوم سينما بالملايين زي كريم و عز و تصرفوا فلوسنا علي دعم فرق كوره يبقي سوري يعني ناخد حقنا احنا الاول شويه فشله و تشتغلوا بضمير و تدونا خدمه دافعين تمنها فشله لصوص راس هرم الفساد ف USERIDX معلش انت مش عارف تشغلهم	OFF	OFF
822	USERIDX ولااا استثناءي 💃 URL	NOT_OFF	NOT_OFF
823	ربنا ييسرلك الحال اسلام جيزاوي بقا وتترجم الحلقه 😂😂😂💔روابط الاستريم عماله تتنطط قدامي ف حته وانا ماسك نفسي بالعافيه😂😂💔	NOT_OFF	NOT_OFF
824	USERIDX USERIDX رجال حماره اهلك ويلزمنا عملنا بلبس الباس السعودي الرسمي والامن لبس موحد معين والشركات لبس محدد وراح يحصل استغلال تتعراء وتتميع وتبيع السلع علي الخرفان باضعاف مضاعفه الخوف ذالك يجبرهم علي الامر غ	OFF	OFF
825	USERIDX فالح عليم تنصر شعبك علي القوم الظالمين	NOT_OFF	NOT_OFF
826	USERIDX اه مانجا مانجا مانجا	NOT_OFF	NOT_OFF
827	USERIDX زينكم اهل عمان حتي الفرحه متميزين حفظكم الله 💚❤	NOT_OFF	NOT_OFF
828	نصيحه تحب احد تعترف ح يبعد عنك يستغلك	NOT_OFF	NOT_OFF
829	USERIDX والله عبدو ابني انا مش عارف مين ال لسه مش معاه سيديهات عليا 😂😂🤦‍♂️بس ال اقدر اقولهولك استرني الهي تنستر 😂😂🤦‍♂️🥺	NOT_OFF	NOT_OFF
830	USERIDX وهنا يقلل ويسيء ويشوف مقياس اخر والله والله ان نص هالجمهور يفهم اكثر منك متسلق فاشل URL	OFF	OFF
831	USERIDX دعاء القلب لابناءنا وبناتنا الطلاب والطالبات اللهم ملك الملك واسع العطاء الجلال والاكرام اسالك بعدد سجد	NOT_OFF	NOT_OFF
832	USERIDX بدر ناهب قلوب العشاشيقيا جذب حبه بتوت المعاليقيا شمعه الخفرات ابا اطيقصبر وجاشي جاش اشتعالاالامير	NOT_OFF	NOT_OFF
833	USERIDX نجوي نجوي ريح روحك لحاااس	OFF	NOT_OFF
834	انت حبيبي انيق	NOT_OFF	NOT_OFF
835	USERIDX USERIDX غدر بالغدار ملك بينحط الراسمن انتم حتاله المجتمع محرومين تجار المخدراتان تتكلمو اسيادكمروح طهر نعيك ايها المجوسي الطهراني الكلبيا مدعوس تحت الصباط صرصار بايام العزاتفوووو علي صورتك واسمك لكل ح	OFF	OFF
836	USERIDX اللهم امين انا وانتي ايمان جميله يارب متشكر اوي 😍💓	NOT_OFF	NOT_OFF
837	USERIDX USERIDX USERIDX سلام عليكم مقاتلين حماه الدين والدار	NOT_OFF	OFF
838	الاستعمالات النبويه التلطف للمستفتي وطالب العلم وصفه ب موفق موفقه خبر بمعني الدعاء صح عنه صلي الله وسلم قوله لعاءشه رضي الله عنها عندما استفتته رواه احمد مسنده <NUM> <NUM>	NOT_OFF	NOT_OFF
839	USERIDX اقطع واخس الداعشي بو حساب نتن	OFF	OFF
840	صباح الخير فتاح عليم URL	NOT_OFF	NOT_OFF
841	متباركين بمولد صاحب الزمان عجل الله فرجه بابي و امي السلام صاحب الزمان مهدي مدد USERIDX Kuwait URL	NOT_OFF	NOT_OFF
842	USERIDX مشاعرهم مشاعرنا ولكل ام نقولها اليوم وكل يوم نحبك تاج الراس ايامنا انت ♥️ يوم الامعلي يوتيوب URL	NOT_OFF	NOT_OFF
843	حلو النوم رب نتزوج	NOT_OFF	NOT_OFF
844	USERIDX حمد روم مسافر دبيدوك الخط للجمري سلامسل م وقله تران ي ه وب ح يوعند سالم حمد هات الكلام	NOT_OFF	NOT_OFF
845	USERIDX اتبرا الطيبه منجم الثورات كيفك غيبه وغربه ووطء جمرات رجالتك الهيبه نسوانك الحارات قالن قولا تسر تنفع زمان الضر	NOT_OFF	NOT_OFF
846	USERIDX و انتي طيبه نادو قلبي ❤️❤️ ربنا يخليكي رب	NOT_OFF	NOT_OFF
847	USERIDX ازعجتونا بابا الفاتيكان امعات اغبياء واحد يلعق احذيه خمه مثله وتقارنونه بعلماء المسلمين الله يكرمهم عنه	OFF	OFF
848	USERIDX الامير متعلم تاكل بعقلنا حلوه 🍭 ترانا الجمهور الهلالي 💙 فاهمين الكوره ⚽️ تحط واحد فيهم مدرب للهلال💙 واخذ الدوري يعني لاتسوق امها علينا وتحسبنا اننا اطفال با المتوسط	OFF	NOT_OFF
849	ونصره اليوم المني افريقيا اهلي افريقيا اعظم كيان	NOT_OFF	NOT_OFF
850	حدك عمري عم يحلا حبك انت احلي عيونك قلبي مرتاحلا حبيبي حبيبي حبيبي حبك يلي غيرني بحبك تغمرني وبقلبك يلا سهرني حبيبي حبيبي❤️❤️	NOT_OFF	NOT_OFF
851	USERIDX ابيض اسود قصه حياتي و حكاياتي ان عادي عادي اعيشها النص رمادي	NOT_OFF	NOT_OFF
852	ميسي اسطوره كبيير👏👏👏👏👏👏👏💪💪💪💙⁦❤️⁩⁦❤️⁩💙💙⁦❤️⁩	NOT_OFF	NOT_OFF
853	USERIDX اسطوره اساطير الزمالك احبك اللهنفسي اقابلك واخد تشيرت منك شيكا ابن بلدي اسوان	NOT_OFF	NOT_OFF
854	اللهم اول الاولين و اخر الاخرين و القوه المتين و رحيم المساكين و ارحم الراحمين ارحم ضعفي و قله حيلتي اللهم اجعل الخير اخترته اللهم ارزقني الصحه و راحه البال	NOT_OFF	NOT_OFF
855	صلبه القلب وجدا يلاحقني فءاد رواه اليوم يرويني	NOT_OFF	NOT_OFF
856	العباس بن عبدالمطلب رضي الله عنه قال قلت رسول الله علمني شيءا اساله الله عزوجل قال سل الله العافيه ف مكثت اياما جءتف قلت رسول الله علمني شيءا اساله الله ف قال عباس عم رسول الله سل الله العافيه الدنيا والاخره الترمذي	NOT_OFF	NOT_OFF
857	USERIDX رساله تسامح ابتسموا غالين وسامحوا احبهواغسلوا قلوبكم نغزات الشيطان وسوء الظن والتمسوا لاخوانكم الاعذار	NOT_OFF	OFF
858	USERIDX يخي انت حمار الدستور وش دخله بلقران و السنه دستور الكويت متعرفه 😂 لحجي مدرك الامور انت	OFF	OFF
859	USERIDX ههههههههههه انتي هكي هكي مافش حل وسط	NOT_OFF	OFF
860	اانن حبيبتي ححلوا عالم بشكل مذهل	NOT_OFF	NOT_OFF
861	USERIDX تدري وش معني انهزام يعني فينييغني اه كثر الشعور واه قل الكلام	NOT_OFF	NOT_OFF
862	USERIDX مزون الغيث بيض السحايب حقوق الوسم وبل المخيله	NOT_OFF	OFF
863	USERIDX كان جد عرفنا لماذا سميت عقارب الساعه بالعقارب انت كريم رب	NOT_OFF	NOT_OFF
864	USERIDX كلش الا صلاه التروايح نبي نسمع القران ويلكم الله شيخ تبون تلغون المكرفونات	NOT_OFF	NOT_OFF
865	USERIDX طارق حامدالكلام ليك عبدالله السعيد يعدي الكوره تعدي الاتنين لا💪🤚	NOT_OFF	NOT_OFF
866	USERIDX الله ست الله مصطفي 😂⁦❤️⁩⁦❤️⁩	NOT_OFF	NOT_OFF
867	احسن الناس ابوح بهيا تجني احلي تجنيه	NOT_OFF	NOT_OFF
868	USERIDX ايه العظمه دي شكرا انطوي اخووويا بيراميدز URL	NOT_OFF	NOT_OFF
869	USERIDX انهينا العمل اتقنا الشغل 😉واليوم عطله قولوا سنفعل اسرعي ماما بابا فالوقت طاب نذهب الي سبا	NOT_OFF	NOT_OFF
870	USERIDX جوهر العشق نبضه وياروحهيسعد صباح الغلا والشوق وعيونكدامك صباح القصيد اللي ابوحهيسعد صباح الوله قلب مجنونك	NOT_OFF	NOT_OFF
871	USERIDX USERIDX الخوي اللي ينتهض لانخيتهيا حظ منهو صاحبي حزاموشرواك الطيب يكفيه صيتهولا الردي ينفعه مدح الاقلامكلمه ونعم توفي بومحمد حقك🌺	NOT_OFF	NOT_OFF
872	اغلاق حسابات البدون البنوكالحل رصاصه فيك نقطه اخر السطر	OFF	NOT_OFF
873	USERIDX كامل الاوصاف كااامل الاوصاف مءدب محترمم URL	NOT_OFF	NOT_OFF
874	USERIDX توكل رقاصه اسطنبول معاك معتز الشمراني قباءل جنوب السعوديه تعالي ارقصي عندي وراح اعطيك فلوس اكثر اللي اعطوه الاتراك عشان رقصك URL	OFF	OFF
875	تكوووون الحياه تيجي تترزع جنبنا ومتقرفناش	NOT_OFF	NOT_OFF
876	USERIDX USERIDX عيني حصه الله يسعدج كثر اسعدتينا بهالشي واحبج حيل والله💘	NOT_OFF	NOT_OFF
877	USERIDX USERIDX USERIDX هانم لبسه زوز محارم سالتك نا بسيدي سالمفي الاصل وين تكوني	NOT_OFF	NOT_OFF
878	بتاع النعناع منعنع 🍃💕	NOT_OFF	NOT_OFF
879	USERIDX ارحل زامل قواد متلون بغل	OFF	OFF
880	بعدهم كلهم سراجي بينهم	NOT_OFF	NOT_OFF
881	USERIDX اللهم ياقاضي الحاجات كاشف الكربات مجيب الدعوات غافر الزلات عافنا واعف عنا وفرج همومنا واشرح صدورنا	NOT_OFF	NOT_OFF
882	فضحتك قرمط دكتوره رنا كانت مفكراني شاطره لحد التيرم دا هتتصدم🚶🏾‍♀️🚶🏾‍♀️😂😂 URL	NOT_OFF	NOT_OFF
883	اللهم ارحم ابوي واجعل قبره روضه رياض الجنه تقريبا بشكل يومي احام والله حدي اشتقت اللهم اني اتوسل اليك باسماءك الحسني ان تحرم جسده علي النار وتجعله المنعمين القبر وتتجاوز عنه حسن التجاوز واسع المغفره	NOT_OFF	NOT_OFF
884	USERIDX نفسي اعرف مخ النصراوي مءخرته والا وش السالفه احنا بابا حبيبي اخذنا الصداره قدام الاهلي وقبل مباراتكم بيوم واحد حلو وصرنا متصدرين اذا انت مو بكفو تهزم الاتحاد وتسترجع صدارت الزبادي اللي اخذتها اسبوع فهذي مشكلتك مش مشكله الهلال الله	OFF	OFF
885	USERIDX الله ان كان عني تخليت ملهمي مسندي منايه الله خلق اوصاف تحليت ويزهابها ان كنت دايم معايه الموا	NOT_OFF	NOT_OFF
886	USERIDX USERIDX USERIDX USERIDX امين يارب امين يارب امين يارب اله الا انت ياربنا كريم يارحيم الله ارحم الراحمين حي ياقيوم	NOT_OFF	NOT_OFF
887	USERIDX احنا نتعامل حلو نتعامل وحش انما التعامل المهزادا مش معايا بدل امرمغ وشك التراب	NOT_OFF	NOT_OFF
888	عزيزه بنت السلطان يتغير المكان و قابلتني اي مكان كنت اعشق متقووولي🎶يييونس🎶 منيررري يونس الكينج	NOT_OFF	NOT_OFF
889	USERIDX بالرغم ع وده ا اللين غريبه نظام احيان عسرها واحيان لينه ا 😴	NOT_OFF	NOT_OFF
890	وحياه حبك ناسينيياريت حبيب ي انساكدانا طريق عيون يعلمت ه بذك ري معاكي ا ن اس ي حبناراح اعم ل اي ه اناعبدالحليم حافظ	NOT_OFF	NOT_OFF
891	USERIDX قلبي ربي يسعدك الاميره الغاليه	NOT_OFF	NOT_OFF
892	USERIDX USERIDX USERIDX عمررري سوسو عقبالك انتي وغيمتي ونفرح بتخرجكم رببب 🧡🧡💘	NOT_OFF	NOT_OFF
893	USERIDX USERIDX شبيه البدر صافي الثنيه روح المعني ويا هناهاالمشاعر ظاميه وحالي زريه غلاه الروح سبه عناها	NOT_OFF	NOT_OFF
894	فجرنا سلسبيل تغيب راجع راجع	NOT_OFF	NOT_OFF
895	ابرك مصاديف العمر اعز روحي علي 😴🔗 A <NUM> الخير صباح الاثنين	NOT_OFF	NOT_OFF
896	هدف يارب يارب	NOT_OFF	NOT_OFF
897	USERIDX بتفكر بتحس 🤗 انتو شو بتختاروا ادمان هالغنيه شيرين مو طبيعيه انتي 😍😍 علي المولي انت ساحر و لحن صلاح الكردي كمل ال	NOT_OFF	NOT_OFF
898	ماخاب طلابك عظيم عظيم و عظيم	NOT_OFF	NOT_OFF
899	انسان ابن الحياه انسان ممكن تطير	NOT_OFF	NOT_OFF
900	الجماعه وغير نفسيه معندش ثقه روحه URL	NOT_OFF	NOT_OFF
901	USERIDX بنت الغيمه والقمره اخت الورد والازهار URL	NOT_OFF	NOT_OFF
902	USERIDX USERIDX احلي <NUM> سنه ♥️♥️كل سنه وانتي طيبه انچي جميله ♥️ربنا يعوض قلبك الخير يارب	NOT_OFF	NOT_OFF
903	زاهيه مذهله فاتنه زمانك	NOT_OFF	NOT_OFF
904	چايمي خط احمر دينيريس بنت الاحبه انتي GameofThrones	OFF	OFF
905	الي بحط جدول المحاضرات بالجامعه اقسم بالله بكون صاحي 🙂 غبي <NUM> مواد تخصص بنفس الساعه كيييف اكيد بكون نايم بحلم 🙂بذكرني باركان بكتب احداث كارا دينيز😂😭💔	NOT_OFF	NOT_OFF
906	يكفي غياب وبعد منتهي وديوقلبك ليته يشعر اشعر به💫☁️	NOT_OFF	NOT_OFF
907	USERIDX USERIDX حبيبي حسين نور عيني حسين لبيك لبيك حسيناحسنتم	NOT_OFF	NOT_OFF
908	USERIDX خلاص علي كفايه علي جي ياعم اهو 😂😂	NOT_OFF	OFF
909	USERIDX USERIDX كثر جهلكم تعرفون التكلم الا زواج المتعه عقلكم موجود فقط منتصف جسدكم اعلا الراس و حكم المسيار و العرفي شرعكم هات عندك علم فهيم مثقف ابن المسيار و العرفي	OFF	OFF
910	اذا دعي اجاب سريع الحساب رب الارباب عظيم الجناب كريم وهاب رب تحجب دعوتي ترد مسالتي تدعني بحسرتي تكلني الي حولي وقوتي وارحم عجزي فقد ضاق صدري وتاه فكري وتحيرت امري وانت العالم سبحانك بسري وجهري المالك لنفعي وضري	NOT_OFF	NOT_OFF
911	اعتلي نفس واعقل خفوقوارقدي عين وارحل هويال ك رامه م ا ي وط ي ه ا مخلوقوالنج م ط اح ق ال وا هوي	NOT_OFF	NOT_OFF
912	USERIDX رب الاهلي رب ياخد علي عينو 😂	NOT_OFF	NOT_OFF
913	USERIDX USERIDX 🌸حفظك الله ابتي حفظ تني اي بحفظك لامر ربك ابتي الغالي ابتي عبد اللطيف 🌺 URL	NOT_OFF	NOT_OFF
914	USERIDX USERIDX USERIDX تكثر حالمي مجلود الاتحاد 😂😂😂😂	OFF	NOT_OFF
915	اشتقت لوجه اعلم فعل التراب والله مس قلبي ضيق كضيقي رحلت ابي رحمك الله اوجعني رحيلك	NOT_OFF	NOT_OFF
916	يقال ان نصف المحبه وضعت النداء والشاعر العراقي الفذ عبدالرزاق عبدالواحد يقول ويا انت ملح زادي دفء وحشه روحي لياليها تخيل زادا بلا ملح تخيل ليالي ملءها الوحشه انسا دفء حتما وضعت نصف المحبه النداء ولنا ملح زادي دليل	NOT_OFF	NOT_OFF
917	USERIDX شامنا قدسنا يمناحنا العوض حنا الذخر والذخيرهحنا العرب حنا وحنا وحناواحد سفن وابو نجوم وفطيره 😅	NOT_OFF	NOT_OFF
918	USERIDX كنيتها الحنايا ملاذ المستجيريا عالم تعلم خفايا نفوسنا واللي حوتوانا الفقير اللي يحب يشوف وجه الفقي	NOT_OFF	NOT_OFF
919	USERIDX ضلي روحي تعبت معك روحي URL	NOT_OFF	NOT_OFF
920	USERIDX بثر بثر بثر 🙂	NOT_OFF	NOT_OFF
921	مال الجنه ابو فهد URL	NOT_OFF	OFF
922	😂😂😂😂😂 حسره حسره يلااا يابني انتو هبيده وبيب بيب بييييب اشتموا الزمالك وجماهيره مش هنزعل طالما ده هيطلع الفضيحه اقصد الكبت اللي جواكم 😭😭😭😭😭 الاهلي حتي الموت URL	NOT_OFF	OFF
923	USERIDX بعدين انتر كلكم اسيل دعاء ليه 😂😂😂😂😂😂😂	NOT_OFF	NOT_OFF
924	USERIDX USERIDX هموم الحب قبل 😸🌹 URL	NOT_OFF	NOT_OFF
925	مارون ناصيف متحضر مثقف بينسال مواطن ليه قطعت الطريق ا ربع مرات ونحن شعب متحضر مش انت بتقول مش تحضر نقطع الطريق بعتقد ابسط شي يقطعوا الطريق	NOT_OFF	NOT_OFF
926	USERIDX USERIDX ان شاء الله النصر للاتحاد الليله خوي متعب نبي درجه اولي النصر يعوض المباريات المتبقيه URL	NOT_OFF	OFF
927	اه شويه سفله ملاعين الشعوب وعيت خلاص السودان URL	OFF	OFF
928	اللهم مسهل الشديد و ملين الحديد و منجز الوعيد و يوم امر جديد اخرجني حلق الضيق الي اوسع الطريق	NOT_OFF	NOT_OFF
929	USERIDX ذيك الملامح انها تربك النبض	NOT_OFF	NOT_OFF
930	USERIDX احمد الجارلله قلنا تشرب تغرد اثنين يصير حمار	OFF	OFF
931	رءوف رحيم رب العالمين وانك قادر علي شيء رب اللهم الحمد داءما دوامك ولك الحمد باقيا بقاءك ولك الحمد خالدا خلودك ولك الحمد ينبغي لكرم وجهك وعز جلالك الجلال والاكرام ورحمه الله وبركاته	NOT_OFF	NOT_OFF
932	USERIDX مديره قديره نجوي كرم 😍	NOT_OFF	NOT_OFF
933	USERIDX البنات اذا سلموا علي يالدبه شخبارك حيوانه عاش شافك كلبه وحشتينا بقره اذا تهاوشوا	OFF	OFF
934	الله يرحمك نعمه اميره بنت الناس الطيبين نعمه عشرتي الحلوه نعمه خلاص ياختي خلاص انيس جليس عدمت الحبايب بعدك نعمه مقرب البعيد يارب مقرب البعيد يارب URL	NOT_OFF	NOT_OFF
935	USERIDX USERIDX انت طفيلي كاءن هلامي رخوي وحيد النواه ايش دخلك	OFF	NOT_OFF
936	USERIDX شهور العده دي للنسوان اللي بتصبغ شعرها احمر فتك ابو شعر احمر	OFF	NOT_OFF
937	USERIDX ادعولها جماعه ربنا يرحمها رب ويرزقها الفردوس الاعلي URL	NOT_OFF	NOT_OFF
938	USERIDX شكرا انت موهوب راءع مباراه اسطوريه وتاريخيه تتكرر الا النصر	NOT_OFF	NOT_OFF
939	USERIDX مال العافيه بنت العم	NOT_OFF	NOT_OFF
940	شتا قلبي قمر بتودعنا	NOT_OFF	NOT_OFF
941	امام الرسل س ندي انت باب الله م عتمدي ف ب دن ياي و اخ رتي رس ول الله خذ بيدي URL	NOT_OFF	NOT_OFF
942	وجهي الحبيب	NOT_OFF	NOT_OFF
943	ياماهر احبك والمحبه بليه افرح ماهر حقها وملك وقلبها الحب ضبطتك اخر تضبيط 😍	NOT_OFF	NOT_OFF
944	USERIDX USERIDX USERIDX USERIDX USERIDX حركات علوش شغل شاء الله علي القوه	NOT_OFF	NOT_OFF
945	يامالي عمري رضا شبيه الورد راحتي	NOT_OFF	NOT_OFF
946	صباح عليم رزاق كريم صباحات الهلال و صباح بدايه الفصل الاخير📚🤩	NOT_OFF	NOT_OFF
947	USERIDX USERIDX انته احلا مافي الكون • وحشتيني 🎶❤️	NOT_OFF	NOT_OFF
948	USERIDX اواه ضحكته واواه ظنيكم مره قلت احبه وانا احبه	NOT_OFF	NOT_OFF
949	USERIDX قريبا جدا انشاء اللهالجسم العربي بداء يتشافا فاضل القلب مصر يلا شرفاء احرار مصر ليبدا القلب بضخ الدماء الي الجسد	NOT_OFF	NOT_OFF
950	بتخاصمني حبه وتصالحني حبهكل شويه تغضب كده مناسبهاهدي حبيبي اهدي حبيبيهوه الحب لعبه الحب لعبهبتخاصمني حبه وتصالحني حبه 🎵 عزيزه جلال	NOT_OFF	NOT_OFF
951	اه قلب الشقي دور لقي احباب🎼	NOT_OFF	NOT_OFF
952	ياحبيبي معيووووووووووفياحبيبي معيووووووووووفياحبيبي معيووووووووووفياحبيبي معيووووووووووفياحبيبي معيووووووووووفياحبيبي معيووووووووووف الهلال والاهلي URL	NOT_OFF	NOT_OFF
953	فودافون مكار بصوت احمد حلمي D URL	NOT_OFF	NOT_OFF
954	USERIDX مثل معادله ميل غزيل غزيل ميل 😂😂	NOT_OFF	NOT_OFF
955	اللهم ارزقني فضلك تجعل حاجه الي احد خلقك اللهم البسني العافيه وارزقني عليها الشكر واحد احد صمد الله يلد ولم يولد ولم يكن كفوا احد	NOT_OFF	NOT_OFF
956	اصبح الخير بلدنا زينه البلدان بلدنا ❤🌷	NOT_OFF	NOT_OFF
957	و بقي للشوق مخرج تجي ن ي اجي ك	NOT_OFF	NOT_OFF
958	USERIDX عادي سهل تغريده رد علي تغريده ببساطه وفيه خاص اذا ثنين متابعين يقدرون يراسلون طبعا عندي تويتر <NUM> بكل فخر صياع قديم معك 😂😂😂😂😂😂🤣	NOT_OFF	NOT_OFF
959	وتطلالب اعلام ليبي طيح والله سعدكم ومزالكم URL	OFF	OFF
960	USERIDX متخلف مطبلاتي كلب	OFF	OFF
961	اللهم اني استودعك ديني ونفسي وامانتي واهلي واحبتي وخواتيم عملي وجميع انعمت علي اخشي فقدانه وعندك تضيع الوداءع وظني فيك سندي جميل فحقق الهي حسن ظني🌺	NOT_OFF	NOT_OFF
962	USERIDX دموعك غاليه فرجاني سلامات موسيقار URL	NOT_OFF	NOT_OFF
963	USERIDX ريتني اخي عملت عبيطه الاول💔😂😂😂	NOT_OFF	NOT_OFF
964	USERIDX ماينفعش تقول لحد خليك حنين لان الحنيه موجوده ماينفعش تقول لحد يفرحك لان اللي بيحبك هايتشقلب عشان يخليك مبسوط	NOT_OFF	NOT_OFF
965	USERIDX يوم خفيف لطيف	NOT_OFF	NOT_OFF
966	مفاجاه مليك منتصر واسلبه نعمته وسلطانه واعره نعمتك يقابلها بالشكر وانزع عنه سربال عزك يجازه بالاحسان واقصمه قاصم الجبابره واهلكه مهلك القرون الخاليه واخذله خاذل الفءات الباغيه حراك رمضان البنزين نفطنا لغيرنا	NOT_OFF	OFF
967	USERIDX للعلم الجيش للحرب والاعمار بحر العلم ترعه المفهوميه فيلسوف الحمير	OFF	OFF
968	USERIDX جبران ابن جرجي وقف حدك بقي كتير زودتا بطل شي تسرقو شكيت علي جيبه المواطن الفقير يلي بيفلح لنهار ليطلع	NOT_OFF	OFF
969	USERIDX عروس الكون ضي العيون ملاك ينثر عطور الزهور👰🏻💜 USERIDX	NOT_OFF	NOT_OFF
970	USERIDX ايوه انت حماده حبيبي تبطل فتي 😏	NOT_OFF	NOT_OFF
971	USERIDX رب تنصرنا الله اعتصام القياده العامه تسقط السودان URL	NOT_OFF	NOT_OFF
972	دايم الحاجه اللي تحبها تكون بعيدهعنك بالمسافه بالشعور— بدر بن عبدالمحسن	NOT_OFF	NOT_OFF
973	USERIDX بلاش رخص الفجل 😂الله يسعد مساك ومسا هالضحكه 😁	OFF	NOT_OFF
974	USERIDX ايوا اس ملكت المحمر و المشمر 😂😂 يلاااااا	NOT_OFF	NOT_OFF
975	اخره الوساخه اريا حبيبتي 😂😂😂😂😂 URL	OFF	NOT_OFF
976	ثانيه واحده كدههي اسمها كان كان ساده كرام مش سعد اكراماحيه	OFF	NOT_OFF
977	انت روحي بكتفي طموحي مناي وغايتي	NOT_OFF	NOT_OFF
978	اه لالي لالي لالي ابو العيون السود خلياه لالي لالي لالي خليك علي كيفك تمليييا عيني لالالالي ياروحي لالالالي سيدي لالالالي	NOT_OFF	NOT_OFF
979	<NUM> وجهت وجهي للذي جعل الشهاده وحرم القتل والاباده اني مجنونك حبي تستوطن لبي احبك بلادي فما اصدق الحب الا جنون الحرب URL	NOT_OFF	NOT_OFF
980	اللهم سميع الدعوات مقيل العثرات ياقاضي الحاجات كاشف الكربات رفيع الدرجات ويا غافر الزلات اغفر للمسلمين والمسلمات والمءمنين والمءمنات الاحياء منهم والاموات انك سميع قريب مجيب الدعوات	NOT_OFF	NOT_OFF
981	مكثرك فيني جعلك تقل	NOT_OFF	NOT_OFF
982	USERIDX حليييييله حليله حليله 💙🌻	NOT_OFF	NOT_OFF
983	كسمك بكاري جساما ابن المنايك	OFF	OFF
984	USERIDX USERIDX ولك خاءن عميل عوني حدادين ولك بدك قبل تقرا يكتبه اصغر اردني تروح تتحمم وتنظف حالك وساختك النتنه فكيف قراه يكتبه سيد البلاد واشرف العرب جلاله الملك عبدالله شو اقول لواحد مثلك معتوه ونتن وخاءن لاهله	OFF	OFF
985	USERIDX انا عم انا اعمي جاجك خابط نقوخم	NOT_OFF	NOT_OFF
986	USERIDX كده انت خلاص بقيت حامي حقوق المراهطب ليه يعم الكلبوبه متكلمتش الشتايم اللي شتموها وانت مغروش صوتهم الفيديو زكمان لبسهم فعلا مخالف للدين والاداب العامه ومفيش بنت ماشيه محترمه ولابسه لبس محترم حد هيعاكسها كلبوبه ابن كوم شكاير ال	OFF	OFF
987	نجمتي المذهله شخصي الغيير🖤🖤	NOT_OFF	NOT_OFF
988	USERIDX شوفو تعطونا راحه تعطونا راحه اختارو وحده الثنتين الثانوي يطالبون براحه	NOT_OFF	NOT_OFF
